backend,image_name,reference_count,candidate_count,matched_count,unmatched_reference,unmatched_candidate,reference_match_rate,candidate_match_rate,mean_box_iou,min_box_iou,mean_confidence_abs_diff,max_confidence_abs_diff
onnx,0000001_02999_d_0000005.jpg,12,12,4,8,8,0.3333333333333333,0.3333333333333333,0.9950690418481827,0.992234468460083,0.001849144697189331,0.0022801756858825684
onnx,0000026_04978_d_0000034.jpg,30,29,13,17,16,0.43333333333333335,0.4482758620689655,0.9953471697293795,0.9906972646713257,0.010589783008282002,0.060028076171875
onnx,0000117_03096_d_0000091.jpg,32,34,15,17,19,0.46875,0.4411764705882353,0.9957727471987406,0.991728663444519,0.017777001857757567,0.11443489789962769
onnx,0000193_02606_d_0000117.jpg,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0
onnx,0000242_01475_d_0000007.jpg,51,48,22,29,26,0.43137254901960786,0.4583333333333333,0.9950482764027335,0.9904398322105408,0.01817637411030856,0.09292781352996826
onnx,0000249_03400_d_0000010.jpg,50,52,16,34,36,0.32,0.3076923076923077,0.9947373420000076,0.990079939365387,0.022853657603263855,0.1353132128715515
onnx,0000276_00601_d_0000510.jpg,17,19,9,8,10,0.5294117647058824,0.47368421052631576,0.9940182036823697,0.9900136590003967,0.05628762311405606,0.3344062268733978
onnx,0000277_02601_d_0000552.jpg,41,42,19,22,23,0.4634146341463415,0.4523809523809524,0.9949150305045279,0.9905105233192444,0.010357527356398733,0.07352828979492188
onnx,0000287_01601_d_0000767.jpg,31,30,6,25,24,0.1935483870967742,0.2,0.9935088654359182,0.9909994006156921,0.017114152510960896,0.03599792718887329
onnx,0000289_04801_d_0000835.jpg,31,32,15,16,17,0.4838709677419355,0.46875,0.9947856068611145,0.9917047619819641,0.015164285898208618,0.07010549306869507
onnx,0000295_00800_d_0000025.jpg,67,65,17,50,48,0.2537313432835821,0.26153846153846155,0.9946076764779932,0.9906787872314453,0.006556365419836605,0.04864490032196045
onnx,0000316_00801_d_0000523.jpg,20,20,4,16,16,0.2,0.2,0.9941035956144333,0.9900471568107605,0.013257965445518494,0.020639926195144653
onnx,0000330_02201_d_0000811.jpg,25,26,9,16,17,0.36,0.34615384615384615,0.9946095016267564,0.9918249845504761,0.0247034662299686,0.13566720485687256
onnx,0000335_04117_d_0000064.jpg,23,25,12,11,13,0.5217391304347826,0.48,0.9971191634734472,0.9946925640106201,0.009776209791501364,0.03550422191619873
onnx,0000359_01177_d_0000705.jpg,54,53,28,26,25,0.5185185185185185,0.5283018867924528,0.9948235750198364,0.9903987050056458,0.006114649985517774,0.04649090766906738
onnx,0000364_01765_d_0000782.jpg,12,11,5,7,6,0.4166666666666667,0.45454545454545453,0.9918967366218567,0.9906943440437317,0.00948675274848938,0.02465575933456421
openvino,0000001_02999_d_0000005.jpg,12,12,5,7,7,0.4166666666666667,0.4166666666666667,0.9941056966781616,0.9903966784477234,0.001814424991607666,0.0023770928382873535
openvino,0000026_04978_d_0000034.jpg,30,29,13,17,16,0.43333333333333335,0.4482758620689655,0.99532439158513,0.9907090067863464,0.010591252492024349,0.06140416860580444
openvino,0000117_03096_d_0000091.jpg,32,34,15,17,19,0.46875,0.4411764705882353,0.9958400805791219,0.9920384883880615,0.017809146642684938,0.11415684223175049
openvino,0000193_02606_d_0000117.jpg,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0
openvino,0000242_01475_d_0000007.jpg,51,48,21,30,27,0.4117647058823529,0.4375,0.9952561316036043,0.990192174911499,0.018897042388007754,0.0955083966255188
openvino,0000249_03400_d_0000010.jpg,50,52,15,35,37,0.3,0.28846153846153844,0.994946297009786,0.9922255873680115,0.02488679885864258,0.14957493543624878
openvino,0000276_00601_d_0000510.jpg,17,19,9,8,10,0.5294117647058824,0.47368421052631576,0.9939892556932237,0.9901227355003357,0.058041115601857506,0.33550921082496643
openvino,0000277_02601_d_0000552.jpg,41,41,18,23,23,0.43902439024390244,0.43902439024390244,0.994974371459749,0.9908390641212463,0.011464001403914558,0.07155263423919678
openvino,0000287_01601_d_0000767.jpg,31,30,4,27,26,0.12903225806451613,0.13333333333333333,0.994504526257515,0.9905561804771423,0.026267535984516144,0.03850314021110535
openvino,0000289_04801_d_0000835.jpg,31,32,16,15,16,0.5161290322580645,0.5,0.9946000315248966,0.9902383089065552,0.01464388519525528,0.0707857608795166
openvino,0000295_00800_d_0000025.jpg,67,65,17,50,48,0.2537313432835821,0.26153846153846155,0.9948175829999587,0.9913699626922607,0.0066833285724415496,0.047327786684036255
openvino,0000316_00801_d_0000523.jpg,20,20,4,16,16,0.2,0.2,0.9941520243883133,0.9900541305541992,0.013518087565898895,0.02350938320159912
openvino,0000330_02201_d_0000811.jpg,25,25,9,16,16,0.36,0.36,0.9945956468582153,0.9918917417526245,0.025017983383602567,0.13299304246902466
openvino,0000335_04117_d_0000064.jpg,23,25,12,11,13,0.5217391304347826,0.48,0.9970203439394633,0.9940144419670105,0.00997599462668101,0.037089407444000244
openvino,0000359_01177_d_0000705.jpg,54,53,28,26,25,0.5185185185185185,0.5283018867924528,0.9947096173252378,0.9903941750526428,0.006796209939888546,0.05367344617843628
openvino,0000364_01765_d_0000782.jpg,12,11,4,8,7,0.3333333333333333,0.36363636363636365,0.9929192960262299,0.9915944933891296,0.006087891757488251,0.014283061027526855
