source_frame_index,frame_index,timestamp_seconds,wall_ms,preprocess_ms,inference_ms,postprocess_ms,detections,tracked_detections
0,0,0.0,263.88869699999873,4.191602000005901,110.55795699999749,0.21813600000086808,12,12
1,1,0.041666666666666664,386.48675800000376,53.1692139999933,274.7044000000045,0.2559590000004164,9,9
2,2,0.08333333333333333,100.2146019999941,2.7985629999989214,78.63896799999281,0.24508099998854505,10,10
3,3,0.125,72.48883600000511,2.7592199999872946,48.447190000004525,0.17798399998980585,9,9
4,4,0.16666666666666666,73.05341999999371,2.9079350000102977,47.97339700000691,0.25213600000029146,9,9
5,5,0.20833333333333334,86.68001899999922,7.122199999997747,51.407799999992676,0.35295600000040395,8,8
6,6,0.25,88.98391800001093,3.630470000004493,63.72236699999689,0.23948199999779263,8,8
7,7,0.2916666666666667,86.77987800000153,3.902367999998546,60.96425699999486,0.2010139999981675,10,10
8,8,0.3333333333333333,86.51910500000781,2.949483000008968,56.561921000010784,0.21832499999163701,9,9
9,9,0.375,95.61977100000263,13.906450000007453,61.35468099999741,0.16354699999965305,10,10
10,10,0.4166666666666667,86.92409600000417,3.069241000005718,59.24518300000159,0.2100399999989122,10,10
11,11,0.4583333333333333,96.12921100000449,4.035967999996615,62.232918999995945,0.22121099999594662,10,10
12,12,0.5,83.5423230000032,4.014780000005658,57.73338500000591,0.16093499999669802,8,8
13,13,0.5416666666666666,93.61840500000085,7.686656000004177,63.55880499999955,0.18550800000127765,8,8
14,14,0.5833333333333334,87.98639600000513,2.3338539999997465,66.47981099999356,0.16514700000413995,10,10
15,15,0.625,92.41752299999462,4.919260999997732,67.48327200000404,0.3403899999909754,8,8
16,16,0.6666666666666666,93.01084899999523,4.106295999989129,57.22416400000441,0.24885900000981565,9,9
17,17,0.7083333333333334,271.8639760000059,10.968474999998534,241.79293900000687,0.3139210000000503,10,10
18,18,0.75,79.10703499999272,4.7935289999969655,55.85711599999854,0.2216779999884011,10,10
19,19,0.7916666666666666,71.90592599999945,2.411381000001711,46.75398900000971,0.23598500000332479,8,8
20,20,0.8333333333333334,99.23864099999946,8.982776000010517,58.961404000001494,0.2967209999980014,11,11
21,21,0.875,78.208367000002,3.91457599999967,54.503283999991936,0.19083399999431094,11,11
22,22,0.9166666666666666,70.71142899999927,2.771400999989737,50.55725000001132,0.16441500000041742,11,11
23,23,0.9583333333333334,79.1317730000003,2.4901169999935746,53.23158499999181,0.24691599999471237,7,7
24,24,1.0,155.95645399999114,2.3287989999971614,120.4126539999919,0.327850999994439,8,8
25,25,1.0416666666666667,90.7304119999992,4.214197999999669,62.02958400000114,0.20841399999937948,8,8
26,26,1.0833333333333333,95.68898199999865,3.5971819999929266,61.76082599999688,0.35161599998900783,9,9
27,27,1.125,81.69506800000192,3.078857999994966,55.240205999993464,0.16745599999978822,10,10
28,28,1.1666666666666667,89.4345929999929,7.534788000000958,57.77328700000339,0.22858200000541729,10,10
29,29,1.2083333333333333,90.35611100000551,4.3138390000052595,57.69431999999597,0.200896999999145,9,9
30,30,1.25,94.58437699998967,4.324034999996229,64.42082799999582,0.22218900001291786,10,10
31,31,1.2916666666666667,199.490830000002,2.864994999995929,173.19874199999674,0.2586239999970985,10,10
32,32,1.3333333333333333,123.84663600001034,13.93329199999016,84.75221900000918,0.2820179999929451,8,8
33,33,1.375,94.46746300000086,2.8338669999925514,75.59639599999457,0.19817199999749846,10,10
34,34,1.4166666666666667,103.53051799999946,1.8727590000082728,82.21765499999378,0.1634939999917151,9,9
35,35,1.4583333333333333,89.7690679999954,1.9678789999915125,62.36300799999128,0.22634300000845542,9,9
36,36,1.5,114.85945500000128,5.507680000008008,75.28395099998875,0.24362999999993917,9,9
37,37,1.5416666666666667,92.5653199999914,3.525534000004882,60.27748900000063,0.34047700000883196,10,10
38,38,1.5833333333333333,78.34691799999405,2.955091999993442,54.26240100000257,0.16044299999862233,9,9
39,39,1.625,83.84588500000234,3.6158700000044064,54.444356000004746,0.35995100000718594,8,8
40,40,1.6666666666666667,82.95329499999582,3.4737820000003694,50.51792499999408,0.17157199999928707,9,9
41,41,1.7083333333333333,73.14999300000125,3.0183870000115576,50.49164999999789,0.16735000001233402,9,9
42,42,1.75,76.91954199999884,3.034249999998906,55.30820799999958,0.2757190000011178,10,10
43,43,1.7916666666666667,93.1577639999972,3.3269120000056773,68.40068399999666,0.1825509999946462,10,10
44,44,1.8333333333333333,108.67649600000107,7.712834000002999,69.25134099999752,0.24322099999096736,11,11
45,45,1.875,188.5455370000102,9.672503999993864,144.18842599999948,0.34659199999964585,6,6
46,46,1.9166666666666667,85.50030700000377,2.982051000003594,60.43666399999381,0.3236549999883209,8,8
47,47,1.9583333333333333,100.07547600000066,4.985787999999047,61.90466700000741,0.3396429999895645,9,9
48,48,2.0,96.92513199999553,10.267859999999018,68.07905499999833,0.29254000000378255,6,6
49,49,2.0416666666666665,89.0159519999969,3.1814999999966176,55.82143899999892,0.3240730000015901,6,6
50,50,2.0833333333333335,126.3086169999923,3.5639240000051586,102.21925499999429,0.5554269999947792,9,9
51,51,2.125,78.69353899999965,3.9453260000072987,55.53568199999859,0.20192600000257244,8,8
52,52,2.1666666666666665,102.33878199998969,4.335836999999287,72.89597800000536,0.17169500000591142,9,9
