scope,class_id,class_name,instances,precision,recall,map50,map50_95
overall_macro,,all,6090,0.565078845096499,0.3880648651314288,0.4017693597771014,0.25345249224856464
class,0,pedestrian,1946,0.5188814649012663,0.3119218910585817,0.3217059015414947,0.12998337018304607
class,1,car,3417,0.6465977025983409,0.7196462722237877,0.7124757534237491,0.4629203971301273
class,2,van,487,0.5262197627393116,0.2850840339468728,0.32374394115638405,0.2142708251912447
class,3,truck,187,0.62059698598205,0.22744571333356206,0.2680473804087688,0.1865873149651879
class,4,bus,53,0.5130983092615257,0.39622641509433965,0.3828738223551099,0.273500553773217
