backend,image_name,reference_count,candidate_count,matched_count,unmatched_reference,unmatched_candidate,reference_match_rate,candidate_match_rate,mean_box_iou,min_box_iou,mean_confidence_abs_diff,max_confidence_abs_diff
onnx,0000001_02999_d_0000005.jpg,12,12,12,0,0,1.0,1.0,0.9999992549419403,0.9999979734420776,4.4206778208414715e-07,1.5497207641601562e-06
onnx,0000026_04978_d_0000034.jpg,29,29,29,0,0,1.0,1.0,0.9999989497250524,0.9999956488609314,1.5497207641601562e-06,1.436471939086914e-05
onnx,0000117_03096_d_0000091.jpg,34,34,34,0,0,1.0,1.0,0.9999989060794606,0.999991238117218,1.4462891746969785e-06,1.1324882507324219e-05
onnx,0000193_02606_d_0000117.jpg,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0
onnx,0000242_01475_d_0000007.jpg,48,48,48,0,0,1.0,1.0,0.9999988004565239,0.9999950528144836,8.301188548405966e-07,1.2516975402832031e-05
onnx,0000249_03400_d_0000010.jpg,52,52,52,0,0,1.0,1.0,0.9999992228471316,0.9999920129776001,7.874690569364108e-07,4.410743713378906e-06
onnx,0000276_00601_d_0000510.jpg,19,19,19,0,0,1.0,1.0,0.9999991059303284,0.9999962449073792,8.470133731239721e-07,3.7550926208496094e-06
onnx,0000277_02601_d_0000552.jpg,42,42,42,0,0,1.0,1.0,0.9999989299547105,0.9999954104423523,1.4461222149076916e-06,8.195638656616211e-06
onnx,0000287_01601_d_0000767.jpg,30,30,30,0,0,1.0,1.0,0.999999217192332,0.9999963045120239,1.3152758280436198e-06,1.0907649993896484e-05
onnx,0000289_04801_d_0000835.jpg,32,32,32,0,0,1.0,1.0,0.9999993108212948,0.9999963641166687,7.404014468193054e-07,2.115964889526367e-06
onnx,0000295_00800_d_0000025.jpg,65,65,65,0,0,1.0,1.0,0.9999987152906564,0.9999890327453613,7.854058192326472e-07,1.1414289474487305e-05
onnx,0000316_00801_d_0000523.jpg,20,20,20,0,0,1.0,1.0,0.9999989092350006,0.9999945759773254,1.3425946235656737e-06,8.702278137207031e-06
onnx,0000330_02201_d_0000811.jpg,26,26,26,0,0,1.0,1.0,0.9999991838748639,0.9999955296516418,1.4385351767906775e-06,8.07642936706543e-06
onnx,0000335_04117_d_0000064.jpg,25,25,25,0,0,1.0,1.0,0.9999985885620117,0.9999938011169434,8.404254913330078e-07,7.033348083496094e-06
onnx,0000359_01177_d_0000705.jpg,53,53,53,0,0,1.0,1.0,0.9999989867210388,0.999995768070221,6.590249403467718e-07,3.2186508178710938e-06
onnx,0000364_01765_d_0000782.jpg,11,11,11,0,0,1.0,1.0,0.9999994256279685,0.9999961853027344,5.987557497891512e-07,2.0563602447509766e-06
openvino,0000001_02999_d_0000005.jpg,12,12,12,0,0,1.0,1.0,0.99894979596138,0.9965152740478516,0.0007870470484097799,0.0020237863063812256
openvino,0000026_04978_d_0000034.jpg,29,29,29,0,0,1.0,1.0,0.9993075810629746,0.9980795383453369,0.0010399705377118341,0.006841868162155151
openvino,0000117_03096_d_0000091.jpg,34,34,34,0,0,1.0,1.0,0.9991747947300181,0.9970905184745789,0.0008579466272802914,0.01329183578491211
openvino,0000193_02606_d_0000117.jpg,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0
openvino,0000242_01475_d_0000007.jpg,48,48,48,0,0,1.0,1.0,0.9987998455762863,0.9956743121147156,0.0007422001411517462,0.0053789615631103516
openvino,0000249_03400_d_0000010.jpg,52,52,52,0,0,1.0,1.0,0.9988981691690592,0.9970960021018982,0.0008954004599497869,0.014266133308410645
openvino,0000276_00601_d_0000510.jpg,19,19,19,0,0,1.0,1.0,0.9991553363047148,0.997461199760437,0.0012273302203730534,0.003154575824737549
openvino,0000277_02601_d_0000552.jpg,42,41,41,1,0,0.9761904761904762,1.0,0.9989187383070225,0.9971896409988403,0.0009569627482716631,0.0038827061653137207
openvino,0000287_01601_d_0000767.jpg,30,30,30,0,0,1.0,1.0,0.9989198625087738,0.9970917701721191,0.0009199817975362142,0.005339384078979492
openvino,0000289_04801_d_0000835.jpg,32,32,32,0,0,1.0,1.0,0.9992223791778088,0.9967083930969238,0.0007277717813849449,0.0029944181442260742
openvino,0000295_00800_d_0000025.jpg,65,65,65,0,0,1.0,1.0,0.9990099842731769,0.9968869090080261,0.0006720886780665471,0.007633715867996216
openvino,0000316_00801_d_0000523.jpg,20,20,20,0,0,1.0,1.0,0.9987748622894287,0.9968720078468323,0.000989791750907898,0.004419922828674316
openvino,0000330_02201_d_0000811.jpg,26,25,25,1,0,0.9615384615384616,1.0,0.9995143556594849,0.9988127946853638,0.0008598911762237549,0.003289520740509033
openvino,0000335_04117_d_0000064.jpg,25,25,25,0,0,1.0,1.0,0.9993087911605835,0.9981583952903748,0.0006745338439941406,0.003510892391204834
openvino,0000359_01177_d_0000705.jpg,53,53,53,0,0,1.0,1.0,0.9988782124699287,0.9970214366912842,0.0007395997362316779,0.007185757160186768
openvino,0000364_01765_d_0000782.jpg,11,11,11,0,0,1.0,1.0,0.9988910122351213,0.9976502656936646,0.0009452185847542503,0.0037178993225097656
