image_name,ground_truth,predictions,true_positives,false_negatives,false_positives,small_false_negatives,heavy_occlusion_false_negatives,truncated_false_negatives,classification_confusions,total_errors
0000293_03601_d_0000940.jpg,66,57,38,28,19,27,2,0,0,47
0000295_00800_d_0000025.jpg,126,67,48,78,19,76,0,0,1,97
0000295_01600_d_0000029.jpg,115,103,66,49,37,45,0,1,2,86
0000295_02900_d_0000034.jpg,164,100,79,85,21,83,5,0,0,106
0000301_00001_d_0000156.jpg,50,26,16,34,10,24,8,7,2,44
0000303_03401_d_0000200.jpg,58,33,26,32,7,30,5,0,1,39
0000312_01001_d_0000419.jpg,50,40,38,12,2,11,2,0,0,14
0000312_04201_d_0000435.jpg,49,40,35,14,5,13,1,1,0,19
0000315_01601_d_0000509.jpg,73,46,30,43,16,41,10,1,2,59
0000316_00801_d_0000523.jpg,19,20,9,10,11,9,1,0,7,21
0000316_01601_d_0000527.jpg,24,18,13,11,5,8,1,2,1,16
0000323_02601_d_0000645.jpg,82,52,38,44,14,39,14,0,2,58
0000327_00601_d_0000714.jpg,58,41,32,26,9,20,7,0,2,35
0000327_01801_d_0000720.jpg,43,26,21,22,5,19,1,0,1,27
0000327_03201_d_0000727.jpg,84,20,9,75,11,59,20,0,7,86
0000327_04001_d_0000731.jpg,92,45,33,59,12,57,13,0,2,71
0000330_00601_d_0000803.jpg,83,42,30,53,12,48,16,0,1,65
0000330_01401_d_0000807.jpg,101,58,49,52,9,45,9,1,2,61
0000330_02201_d_0000811.jpg,31,25,16,15,9,12,0,3,4,24
0000330_04201_d_0000821.jpg,88,45,33,55,12,48,8,5,2,67
0000333_01765_d_0000010.jpg,75,48,41,34,7,31,3,0,1,41
0000333_02549_d_0000014.jpg,62,39,32,30,7,26,2,0,4,37
0000333_03529_d_0000019.jpg,56,53,40,16,13,12,1,3,4,29
0000335_00393_d_0000045.jpg,22,13,11,11,2,6,0,0,1,13
0000335_01765_d_0000052.jpg,43,35,27,16,8,14,1,1,2,24
0000335_02745_d_0000057.jpg,51,37,28,23,9,20,2,0,2,32
0000335_04117_d_0000064.jpg,24,23,21,3,2,0,1,1,1,5
0000335_06469_d_0000076.jpg,7,5,4,3,1,2,1,0,1,4
0000345_07057_d_0000345.jpg,60,36,27,33,9,32,3,1,0,42
0000346_07057_d_0000382.jpg,62,35,29,33,6,23,8,1,1,39
0000356_01177_d_0000635.jpg,60,38,27,33,11,25,2,2,3,44
0000356_02157_d_0000640.jpg,38,31,23,15,8,10,0,2,0,23
0000356_03529_d_0000647.jpg,49,32,24,25,8,19,0,2,1,33
0000356_04313_d_0000651.jpg,66,34,22,44,12,35,1,2,2,56
0000358_03333_d_0000697.jpg,65,44,32,33,12,27,2,0,3,45
0000359_01177_d_0000705.jpg,55,54,34,21,20,12,2,0,0,41
0000359_02549_d_0000709.jpg,17,15,14,3,1,3,1,0,0,4
0000360_00197_d_0000714.jpg,33,31,24,9,7,4,3,0,0,16
0000360_00981_d_0000718.jpg,31,22,14,17,8,6,10,1,2,25
0000360_03333_d_0000730.jpg,35,33,19,16,14,6,1,2,8,30
0000360_04705_d_0000737.jpg,2,3,2,0,1,0,0,0,0,1
0000360_06665_d_0000747.jpg,32,26,17,15,9,4,4,1,4,24
0000364_00589_d_0000798.jpg,18,6,3,15,3,13,0,0,0,18
0000364_01765_d_0000782.jpg,39,11,5,34,6,27,0,4,0,40
