scope,class_id,class_name,instances,metric,baseline,candidate,absolute_delta,relative_change_percent
overall_macro,,all,,precision,0.28922840735228206,0.565078845096499,0.2758504377442169,95.37460039609087
overall_macro,,all,,recall,0.17337008388684744,0.3880648651314288,0.21469478124458136,123.83611776106949
overall_macro,,all,,map50,0.1541897700672453,0.4017693597771014,0.24757958970985608,160.56810357903873
overall_macro,,all,,map50_95,0.09688075667063861,0.25345249224856464,0.15657173557792603,161.61283309358978
class,0,pedestrian,1946,precision,0.3928209990834985,0.5188814649012663,0.1260604658177678,32.09107102519543
class,0,pedestrian,1946,recall,0.12435765673175746,0.3119218910585817,0.18756423432682423,150.82644628099172
class,0,pedestrian,1946,map50,0.11957616513168948,0.3217059015414947,0.20212973640980522,169.03848370383793
class,0,pedestrian,1946,map50_95,0.04912027343111876,0.12998337018304607,0.08086309675192731,164.62265191850253
class,1,car,3417,precision,0.6342768058200593,0.6465977025983409,0.012320896778281631,1.942511008636346
class,1,car,3417,recall,0.37986537898741585,0.7196462722237877,0.3397808932363719,89.44771280344244
class,1,car,3417,map50,0.40898919115146615,0.7124757534237491,0.303486562272283,74.20405449294356
class,1,car,3417,map50_95,0.24638126033701124,0.4629203971301273,0.21653913679311604,87.88782738464937
class,2,van,487,precision,0.0,0.5262197627393116,0.5262197627393116,
class,2,van,487,recall,0.0,0.2850840339468728,0.2850840339468728,
class,2,van,487,map50,0.0,0.32374394115638405,0.32374394115638405,
class,2,van,487,map50_95,0.0,0.2142708251912447,0.2142708251912447,
class,3,truck,187,precision,0.17150013492059682,0.62059698598205,0.44909685106145325,261.8638470864069
class,3,truck,187,recall,0.15508021390374332,0.22744571333356206,0.07236549942981874,46.66327032198656
class,3,truck,187,map50,0.09593141232379628,0.2680473804087688,0.17211596808497254,179.4156511571323
class,3,truck,187,map50_95,0.07221948626358332,0.1865873149651879,0.11436782870160458,158.36145425375946
class,4,bus,53,precision,0.24754409693725576,0.5130983092615257,0.2655542123242699,107.2755180227865
class,4,bus,53,recall,0.20754716981132076,0.39622641509433965,0.18867924528301888,90.9090909090909
class,4,bus,53,map50,0.14645208172927465,0.3828738223551099,0.23642174062583526,161.43283033891922
class,4,bus,53,map50_95,0.11668276332147968,0.273500553773217,0.15681779045173733,134.39670606675574
